[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,02/26/2024
ScenarioTime,3:15 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,9657,10170,0,,,,,,
2,3,11150,11490,0,,,,,,
3,3,12368,12338,0,,,,,,
4,0,13591,11397,0,,,,,,
5,3,10855,12224,0,,,,,,
6,1,14087,10821,0,,,,,,
7,2,10581,11059,0,,,,,,
8,1,10349,10118,0,,,,,,
9,1,11133,12915,0,,,,,,
10,1,12130,13031,0,,,,,,
11,1,10000,12231,0,,,,,,
12,1,8937,10226,0,,,,,,
14,1,13524,10529,0,,,,,,
15,2,12474,12194,0,,,,,,
18,2,12870,11950,0,,,,,,
19,1,13625,11806,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,,7,12,8,,,,
Lanes,1,,1,1,1,,,,
Name,1,,Pierces Road,South Street,South Street,,,,
Distance,1,,1453,722,694,,,,
Speed,1,,30,30,30,,,,
Time,1,,33.0,16.4,15.8,,,,
Grade,1,,-6,3,-3,,,,
Median,1,,10,0,0,,,,
Offset,1,,0,0,0,,,,
TWLTL,1,,0,0,0,,,,
Crosswalk Width,1,,16,16,16,,,,
Mandatory Distance,1,,200,200,200,,,,
Mandatory Distance2,1,,1320,1320,1320,,,,
Positioning Distance,1,,880,880,880,,,,
Positioning Distance2,1,,1760,1760,1760,,,,
Curve Pt X,1,,9538,,,,,,
Curve Pt Y,1,,10982,,,,,,
Curve Pt Z,1,,0,,,,,,
Link Is Hidden,1,,false,false,false,,,,
Street Name Is Hidden,1,,false,false,false,,,,
Up ID,2,,5,7,3,,,,
Lanes,2,,1,1,1,,,,
Name,2,,Scobie Drive,Pierces Road,Pierces Road,,,,
Distance,2,,801,714,1484,,,,
Speed,2,,30,30,30,,,,
Time,2,,18.2,16.2,33.7,,,,
Grade,2,,0,0,2,,,,
Median,2,,12,0,0,,,,
Offset,2,,0,0,0,,,,
TWLTL,2,,0,0,0,,,,
Crosswalk Width,2,,16,16,16,,,,
Mandatory Distance,2,,200,200,200,,,,
Mandatory Distance2,2,,1320,1320,1320,,,,
Positioning Distance,2,,880,880,880,,,,
Positioning Distance2,2,,1760,1760,1760,,,,
Curve Pt X,2,,11012,,,,,,
Curve Pt Y,2,,11734,,,,,,
Curve Pt Z,2,,0,,,,,,
Link Is Hidden,2,,false,false,false,,,,
Street Name Is Hidden,2,,false,false,false,,,,
Up ID,3,15,10,2,,,,,
Lanes,3,1,1,1,,,,,
Name,3,Gidney Avenue,Gidney Avenue,Pierces Road,,,,,
Distance,3,181,733,1484,,,,,
Speed,3,30,30,30,,,,,
Time,3,4.1,16.7,33.7,,,,,
Grade,3,1,0,1,,,,,
Median,3,0,0,13,,,,,
Offset,3,0,0,0,,,,,
TWLTL,3,0,0,0,,,,,
Crosswalk Width,3,16,16,16,,,,,
Mandatory Distance,3,200,200,200,,,,,
Mandatory Distance2,3,1320,1320,1320,,,,,
Positioning Distance,3,880,880,880,,,,,
Positioning Distance2,3,1760,1760,1760,,,,,
Curve Pt X,3,12405,,,,,,,
Curve Pt Y,3,12242,,,,,,,
Curve Pt Z,3,0,,,,,,,
Link Is Hidden,3,false,false,false,,,,,
Street Name Is Hidden,3,false,false,false,,,,,
Up ID,4,14,19,18,6,,,,
Lanes,4,1,1,1,1,,,,
Name,4,Fullerton Avenue,Fullerton Avenue,Gidney Avenue,Gidney Avenue,,,,
Distance,4,871,410,940,778,,,,
Speed,4,30,30,30,30,,,,
Time,4,19.8,9.3,21.4,17.7,,,,
Grade,4,0,-2,-1,0,,,,
Median,4,0,0,0,0,,,,
Offset,4,0,0,0,0,,,,
TWLTL,4,0,0,0,0,,,,
Crosswalk Width,4,16,16,16,16,,,,
Mandatory Distance,4,250,250,250,250,,,,
Mandatory Distance2,4,1320,1320,1320,1320,,,,
Positioning Distance,4,880,880,880,880,,,,
Positioning Distance2,4,1760,1760,1760,1760,,,,
Curve Pt X,4,,,13053,13838,,,,
Curve Pt Y,4,,,11539,11337,,,,
Curve Pt Z,4,,,0,0,,,,
Link Is Hidden,4,false,false,false,false,,,,
Street Name Is Hidden,4,false,false,false,false,,,,
Up ID,5,2,9,11,,,,,
Lanes,5,1,1,1,,,,,
Name,5,Scobie Drive,Scobie Drive,Site Access,,,,,
Distance,5,801,753,855,,,,,
Speed,5,30,30,30,,,,,
Time,5,18.2,17.1,19.4,,,,,
Grade,5,-3,3,0,,,,,
Median,5,0,0,12,,,,,
Offset,5,0,0,0,,,,,
TWLTL,5,0,0,0,,,,,
Crosswalk Width,5,16,16,16,,,,,
Mandatory Distance,5,200,200,200,,,,,
Mandatory Distance2,5,1320,1320,1320,,,,,
Positioning Distance,5,880,880,880,,,,,
Positioning Distance2,5,1760,1760,1760,,,,,
Curve Pt X,5,10866,10875,,,,,,
Curve Pt Y,5,11938,12510,,,,,,
Curve Pt Z,5,0,0,,,,,,
Link Is Hidden,5,false,false,false,,,,,
Street Name Is Hidden,5,false,false,false,,,,,
Up ID,6,,,,,,,4,
Lanes,6,,,,,,,1,
Name,6,,,,,,,Gidney Avenue,
Distance,6,,,,,,,778,
Speed,6,,,,,,,30,
Time,6,,,,,,,17.7,
Grade,6,,,,,,,0,
Median,6,,,,,,,0,
Offset,6,,,,,,,0,
TWLTL,6,,,,,,,0,
Crosswalk Width,6,,,,,,,16,
Mandatory Distance,6,,,,,,,200,
Mandatory Distance2,6,,,,,,,1320,
Positioning Distance,6,,,,,,,880,
Positioning Distance2,6,,,,,,,1760,
Curve Pt X,6,,,,,,,13921,
Curve Pt Y,6,,,,,,,11013,
Curve Pt Z,6,,,,,,,0,
Link Is Hidden,6,,,,,,,false,
Street Name Is Hidden,6,,,,,,,false,
Up ID,7,,,,,1,,,2
Lanes,7,,,,,1,,,1
Name,7,,,,,Pierces Road,,,Pierces Road
Distance,7,,,,,1453,,,714
Speed,7,,,,,30,,,30
Time,7,,,,,33.0,,,16.2
Grade,7,,,,,0,,,0
Median,7,,,,,0,,,0
Offset,7,,,,,0,,,0
TWLTL,7,,,,,0,,,0
Crosswalk Width,7,,,,,16,,,16
Mandatory Distance,7,,,,,100,,,100
Mandatory Distance2,7,,,,,1320,,,1320
Positioning Distance,7,,,,,880,,,880
