[Lanes],,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NWR,NWL,NWT,NEL,NET,NER,SEL,SER,SET,SWL,SWR,SWT,PED,HOLD
Volume,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyVehicles,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Volume,2,3,88,60,2,,,,,,94,2,56,,,,,,,,,,,,,,
PHF,2,0.886666764078049,0.85956697261821,0.765522866307351,0.8887801280019034,0.9966346144780271,,,0.8448346901778923,0.9240804462647763,0.8130321164416359,0.9333117962825921,0.9803165960844962,,,,,,,,,,,,,,
HeavyVehicles,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Volume,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF,3,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyVehicles,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,
Volume,4,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF,4,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyVehicles,4,1,8,,,,,,,5,3,2,7,,,,,,,,,,,,,,
