[Lanes],,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Volume,1,,,,,,,,,,,,,,
PHF,1,0.886666764078049,0.85956697261821,0.765522866307351,,,,,,0.9240804462647763,0.8130321164416359,0.9333117962825921,0.9803165960844962,,
HeavyVehicles,1,,,,,,,,,,,,,,
Volume,2,,,,,,,,,,,,,,
PHF,2,,,,,,,,,,,,,,
HeavyVehicles,2,2,8,1,7,7,8,6,2,4,4,3,8,,
Volume,3,,,,94,2,,,,,,,,,
PHF,3,,,,,,,,,,,,,,
HeavyVehicles,3,9,3,9,,,,,,,,,,,
Volume,4,,,,,,,94,2,56,3,,,,
PHF,4,,,,,,,,,,,,,,
HeavyVehicles,4,9,3,9,3,,,,,,,9,4,,
