0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NET,NER,,,
Lane Configurations             ,   ,1> ,0  ,0  ,<1 ,   ,   ,   ,   ,   ,   ,   ,1> ,   ,0,,,
Traffic Volume (vph)            ,   ,544,51 ,77 ,195,   ,   ,   ,   ,   ,   ,   ,54 ,   ,276,,,
Future Volume (vph)             ,   ,544,51 ,77 ,195,   ,   ,   ,   ,   ,   ,   ,54 ,   ,276,,,
Ideal Flow (vphpl)              ,   ,1900,1900,1900,1900,   ,   ,   ,   ,   ,   ,   ,1900,   ,1900,,,
Lane Util. Factor               ,   ,1.00,1.00,1.00,1.00,   ,   ,   ,   ,   ,   ,   ,1.00,   ,1.00,,,
Frt                             ,   ,0.988,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.887,,,,,
Flt Protected                   ,   ,   ,   ,   ,0.986,   ,   ,   ,   ,   ,   ,   ,0.992,,,,,
Satd. Flow (prot)               ,   ,1785,0  ,0  ,1775,   ,   ,   ,   ,   ,   ,   ,1562,   ,0,,,
Flt Permitted                   ,   ,   ,   ,   ,0.986,   ,   ,   ,   ,   ,   ,   ,0.992,,,,,
Satd. Flow (perm)               ,   ,1785,0  ,0  ,1775,   ,   ,   ,   ,   ,   ,   ,1562,   ,0,,,
Link Speed (mph)                ,   ,45 ,   ,   ,45 ,   ,   ,   ,   ,   ,   ,   ,30,,,,,
Link Distance (ft)              ,   ,733,   ,   ,606,   ,   ,   ,   ,   ,   ,   ,476,,,,,
Travel Time (s)                 ,   ,11.1,   ,   ,9.2,   ,   ,   ,   ,   ,   ,   ,10.8,,,,,
Peak Hour Factor                ,   ,0.85,0.85,0.85,0.85,   ,   ,   ,   ,   ,   ,   ,0.85,   ,0.85,,,
Heavy Vehicles (%)              ,   ,5% ,7% ,7% ,5% ,   ,   ,   ,   ,   ,   ,   ,7% ,   ,7%,,,
Adj. Flow (vph)                 ,   ,640,60 ,91 ,229,   ,   ,   ,   ,   ,   ,   ,64 ,   ,325,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,   ,700,0  ,0  ,320,   ,   ,   ,   ,   ,   ,   ,389,   ,0,,,
Enter Blocked Intersection      ,   ,No ,No ,No ,No ,   ,   ,   ,   ,   ,   ,   ,No ,   ,No,,,
Lane Alignment                  ,   ,Left,Right,Left,Left,   ,   ,   ,   ,   ,   ,   ,Left,   ,Right,,,
Median Width(ft)                ,   ,0  ,   ,   ,0  ,   ,   ,   ,   ,   ,   ,   ,12,,,,,
Link Offset(ft)                 ,   ,0  ,   ,   ,0  ,   ,   ,   ,   ,   ,   ,   ,0,,,,,
Crosswalk Width(ft)             ,   ,16 ,   ,   ,16 ,   ,   ,   ,   ,   ,   ,   ,16,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,   ,1.00,1.00,1.00,1.00,   ,   ,   ,   ,   ,   ,   ,1.00,   ,1.00,,,
Turning Speed (mph)             ,   ,   ,9  ,15 ,   ,   ,   ,   ,   ,   ,   ,   ,15 ,   ,9,,,
Sign Control                    ,   ,Free,   ,   ,Free,   ,   ,   ,   ,   ,   ,   ,Stop,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",24.9,,,,,,,,,,,,,,,,,
Movement,EBT,EBR,WBL,WBT,NEL,NER,,,,,,,,,,,,
